Gene,LogFC,PValue,FDR
LOC100130872,0.2137951219512217,3.8137774503893175e-06,0.0012024453396118
SIRPD,0.1441064796399045,4.047544349643493e-06,0.0012273077485855
FAM102A,-0.1051192295613931,4.055485615958577e-06,0.0012273077485855
AMPD2,0.1902972260023023,4.083496615050834e-06,0.0012273077485855
MMP9,0.3827957081545072,4.118293065812193e-06,0.0012273077485855
LAT2,0.1062566000209361,4.349752577628704e-06,0.0012619274687026
CUEDC1,0.1450514916780063,4.3680379200460175e-06,0.0012619274687026
LTB4R,0.1673847028856547,4.408480240009279e-06,0.0012619274687026
IQSEC1,0.1387829687009318,4.5072151016642e-06,0.0012734346043727
CA4,0.2370536794724165,4.640895921567033e-06,0.0012943934714575
CTDSP1,0.155002637914789,4.721355416915495e-06,0.0013001656594303
NINJ1,0.2166674761854921,5.053946510348904e-06,0.001374357579158
IL17RA,0.1698533078614055,5.130117999261736e-06,0.0013778483589375
MYD88,0.1395368156600014,5.294269019186534e-06,0.0013812109993086
SLC44A2,0.1642001256149896,5.421476197216576e-06,0.0013812109993086
TFEB,0.1620913325656854,5.442913335940151e-06,0.0013812109993086
GBAP1,0.1632342928922856,5.445353337775912e-06,0.0013812109993086
MYO1F,0.17236526745525,5.490968616432488e-06,0.0013812109993086
FGR,0.1971408772113481,5.523574210059863e-06,0.0013812109993086
OSCAR,0.248627363131999,5.780362621394107e-06,0.001428997600323
CMIP,0.1549624760110255,6.007511151911645e-06,0.0014527246432859
BCL2,-0.0974838375379461,6.009892801458731e-06,0.0014527246432859
JARID2,0.1172947555741661,6.183858276598103e-06,0.0014783498550262
GRN,0.2099978296521154,6.35776262800671e-06,0.0014836144849855
PSTPIP1,0.1655550298335608,6.3690979654001086e-06,0.0014836144849855
BRMS1,0.1129505286297503,6.515771970320213e-06,0.0014836144849855
CHST15,0.1396706165602408,6.538519833978629e-06,0.0014836144849855
CST7,0.2561702292473562,6.610545951887468e-06,0.0014836144849855
SLC11A1,0.121631145538922,6.6150588390532105e-06,0.0014836144849855
GRK6,0.1140230869883804,6.775407398030567e-06,0.0014969747132701
SLX1B-SULT1A4,0.134704965281414,6.864422934198735e-06,0.0014969747132701
ATG13,0.1068413552461704,6.8810605068724725e-06,0.0014969747132701
