PTGDS,DGKK,KIAA0319L,KIR2DL3,PPP4C,LILRB1,MBOAT7,LRRC25,KIR2DL1,TNFAIP2,LSP1,ABHD2,RHOG,APOBR,IFITM3,ADGRG3,SH2B2,HLA-C,PLOD1,MGRN1,PLIN3,IKBKG,RAB3D,LOC102724984,TRAFD1,ZYX,TPD52L2,SLC15A3,ILK,C15orf39,TNFSF14,SH2D3C,NACC2,TLE3,AGTRAP,FCGRT,PLEKHG3,GPX3,KIR3DL1,PILRA,TYROBP,MGAT1,RPS6KA1,LILRA2,PTPN6,KIR3DL3,CXCL16,PLAUR,EFHD2,MAST3,SPI1,GNB2,P2RX1,RNF19B,TFE3,OS9,NCF1,UPF1,IFITM2,KDM6B,ZBED1,SIRPB1,CTSD,DGKH,FES,PREX1,MIR6837,S100A11,LOC100130872,SIRPD,FAM102A,AMPD2,MMP9,LAT2,CUEDC1,LTB4R,IQSEC1,CA4,CTDSP1,NINJ1,IL17RA,MYD88,SLC44A2,TFEB,GBAP1,MYO1F,FGR,OSCAR,CMIP,BCL2,JARID2,GRN,PSTPIP1,BRMS1,CHST15,CST7,SLC11A1,GRK6,SLX1B-SULT1A4,ATG13,Disease
6.961333333333333,3.986,7.599500000000001,5.28,9.006,7.93,8.7085,9.116,6.446,8.4165,10.756,7.18,11.454,8.165,12.436,8.2965,7.85,12.767,7.439,8.358,9.099,7.830999999999999,6.8275,8.854,6.11925,10.8195,8.972,7.454,9.644,7.343,7.0065,7.780666666666666,6.494000000000001,7.7165,8.165666666666667,9.64,5.79525,4.1955,5.69,8.993500000000001,12.096,9.117,9.458,8.73325,11.258,5.444,6.903,7.334,9.6455,8.147,10.121,10.01,7.815,8.913499999999999,5.8535,9.209,10.543,7.0535,12.835,8.2482,6.598000000000001,6.396,7.06,3.519,7.667,9.3175,8.312,12.005,7.16,5.836,6.0995,8.265,9.195,7.6665,6.1715,6.733666666666667,8.532,6.4030000000000005,9.651,9.663,8.9735,11.496,8.759,8.017,6.9505,11.051,9.925,7.819,7.105333333333333,5.54025,6.475666666666666,9.615666666666668,8.418,7.379,7.562,10.336,6.286666666666666,8.61975,8.213666666666667,7.283666666666666,CONTROL
8.651666666666666,5.363,8.532499999999999,6.216,9.313,8.5205,9.226,9.192,7.553,8.806,11.42,7.552,11.692,8.992,13.113,8.526,8.149,13.21125,8.171,8.565,8.952,8.1945,7.345,9.15,6.414,11.2725,9.328,7.712,9.66,7.364333333333334,7.1905,7.978000000000001,6.6895,8.591750000000001,8.333333333333334,10.385,6.4205000000000005,5.6465,7.428,9.6705,12.335,9.319,9.708,9.02475,11.425,6.333,7.714,7.622333333333334,10.117,8.476,11.099,10.482,8.167,9.49,5.9030000000000005,9.39,10.486,7.2675,13.578,8.793000000000001,6.9335,6.7556666666666665,7.478,3.3266,7.773,9.828,8.448,12.48,7.7465,5.674,5.4455,8.914,9.286,8.0885,6.4215,6.957333333333334,8.8655,6.351,9.842,10.629,9.034,11.679,9.1675,8.190000000000001,7.156499999999999,11.383,10.394,7.998,7.719,5.26825,7.031,10.004333333333332,8.749,7.813,7.459,10.86,6.3165,8.5975,8.470666666666666,7.513333333333333,IPD
6.941,4.303,7.404,5.23,8.846,7.993,8.688,9.167,6.757,8.264,10.747,7.0680000000000005,11.553,8.002,12.398,8.1965,7.879,12.68,7.526,8.416,8.728,8.0175,6.7095,8.972,5.89425,10.736,8.824,7.428,9.483,6.814333333333333,6.8385,7.941666666666666,6.221,7.62175,8.081999999999999,9.973,5.88675,4.666,5.894,9.053,11.968,9.259,9.194,8.84975,11.415,5.834,7.061,7.410333333333334,9.713,8.201,9.873,10.127,7.429,8.8795,5.84175,9.1345,10.106,6.614000000000001,12.8585,8.2812,6.61,6.437333333333334,7.021,3.4684,7.58,9.15,8.362,12.108,7.250500000000001,5.584,6.057,8.463,8.893,7.842,5.704,6.614666666666667,8.617,6.193,9.533,9.855,8.786999999999999,11.3,8.8445,7.84,6.861000000000001,11.141,9.866,7.587,7.161333333333334,5.31225,6.65,9.502666666666666,8.608,7.416,7.332,9.831,5.885166666666667,8.69725,8.345333333333334,7.169666666666667,CONTROL
7.218,4.643,7.521000000000001,4.888,9.0,8.271,9.0795,9.63,6.617,8.592,11.093,7.21,11.652,8.651,13.038,8.381499999999999,8.103,12.86775,7.878,8.474,8.82,8.131,7.035500000000001,8.697,6.13,10.9425,8.726,7.527,9.318,7.612666666666667,7.083500000000001,7.748333333333334,6.525,8.39075,7.974333333333334,9.906,6.296749999999999,5.022,5.429,9.114,11.948,8.971,9.292,8.74925,11.242,5.348,7.044,7.495999999999999,9.816,8.322,9.99,10.271,7.765,9.263,6.01625,9.2655,10.384,6.9255,12.9245,8.5594,6.6905,6.9703333333333335,6.763,3.3044,7.729,9.4165,8.412,12.382,7.346,6.18,6.149,8.668,9.12,7.842,6.2,6.437333333333332,8.737,6.244,9.549,10.154,8.93575,11.54,8.989,8.038,7.0165,11.37,9.908,7.386,7.378333333333333,5.29875,6.866666666666667,9.347666666666669,8.313,7.733,7.478999999999999,10.141,6.132833333333333,8.51,8.086,7.464333333333333,CONTROL
7.254666666666666,4.298,7.6075,5.496,9.723,9.07,10.082,9.658,6.577,8.788499999999999,11.242,8.280666666666667,12.698,9.2,13.32,11.007,9.085,13.02675,7.67,9.274,10.267,8.5565,7.855,8.862,6.56325,11.764,9.614,8.133,9.954,7.971333333333334,8.026,8.259,7.080500000000001,9.299,8.970666666666666,10.069,6.16125,4.679,6.449,9.196,12.51,8.735,10.336,9.36825,11.676,5.732,8.114,8.061,10.4235,8.865,10.546,10.948,8.824,9.8075,6.66,9.6235,11.251,7.186999999999999,13.7375,10.0604,6.7875,7.297333333333333,7.315,3.0782,8.927,10.179,8.797,13.047,7.122,6.437,5.112,8.465,12.814,8.4585,6.408,7.626,9.395499999999998,8.3515,9.814,10.208,10.098,12.05,9.4175,8.530000000000001,7.782,11.863,10.782,8.508,7.521333333333334,4.49,6.642666666666667,10.220666666666666,9.038,7.797,8.551,12.559,7.721,9.18925,7.659333333333333,7.742333333333334,IPD
6.606333333333333,4.544,7.497999999999999,4.988,9.127,7.6805,9.1805,9.229,6.223,8.7265,10.082,7.560666666666666,11.284,7.878,12.609,9.0395,8.167,12.72525,6.954,8.388,8.838,7.865,7.007,9.024,6.18075,10.067,8.719,6.839,9.431,7.069,6.9985,7.678333333333334,6.5545,7.800000000000001,7.963000000000001,9.597,6.12275,5.2675,5.675,9.0915,11.854,8.153,8.69,8.286,10.812,6.009,7.465,7.537666666666666,8.975,8.046,8.445,9.569,8.106,8.587,5.8365,8.676,10.193,6.5985,12.975,8.2606,6.4945,6.528,6.657,3.4222,7.489,9.0345,8.02,11.869,6.4495000000000005,5.805,6.086,8.262,9.972,7.728,6.176500000000001,6.478000000000001,8.915,6.5280000000000005,9.26,9.737,8.8655,11.802,8.5175,7.795,6.4505,10.776,9.603,6.942,6.875666666666667,4.8265,6.309,9.051,8.309,7.074,7.302,9.773,6.402166666666666,8.25575,7.693333333333332,7.428999999999999,CONTROL
6.963666666666666,4.474,7.1465,4.604,8.609,7.5685,8.5625,8.472,5.752,7.9205,10.162,6.769166666666667,11.176,7.118,12.261,7.974500000000001,7.662,12.7375,7.048,8.381,8.28,7.7465,6.3235,8.653,5.827500000000001,9.4595,8.801,6.784,9.338,6.408333333333334,6.406499999999999,7.218666666666667,6.0715,7.09,7.670999999999999,9.403,5.890750000000001,4.3245000000000005,5.112,8.451,11.754,8.669,8.901,8.06675,10.884,4.954,7.301,7.058666666666667,9.0185,7.689,8.409,9.545,8.063,8.381499999999999,5.67175,8.5685,10.083,6.2365,12.6405,7.8042,5.958,6.185,6.268,3.6354,7.255,8.791,8.077,11.515,7.346500000000001,5.403,5.946,8.309,8.21,7.3065,5.972,6.088,8.462499999999999,5.9465,9.389,9.387,8.40025,11.362,8.606000000000002,7.4345,6.443,10.479,9.477,6.821,6.436333333333334,5.383,6.258,8.6,7.927,7.459,7.2155,9.761,5.9510000000000005,8.5515,8.169,7.178333333333334,CONTROL
7.541333333333334,4.069,7.4795,4.897,9.098,8.280999999999999,8.5485,8.94,5.703,8.628,10.777,6.8468333333333335,11.677,8.067,12.828,8.041,8.013,12.89075,7.665,8.846,9.254,8.1425,6.611,8.889,6.38275,10.3625,8.826,7.404,9.522,7.186,6.9185,7.524000000000001,6.7205,7.873,8.135333333333334,9.963,6.0725,4.2525,5.075,9.0145,12.019,8.86,9.346,8.285,11.468,5.455,7.057,7.422000000000001,9.914,7.916,9.326,10.154,8.249,8.964500000000001,5.96,9.135,10.802,6.627,12.889,8.381,6.6265,6.09,7.018,3.3427999999999995,7.968,9.116,8.534,12.328,7.176,5.494,5.898,8.78,9.184,7.53,6.5165,6.521,8.7665,5.7705,9.746,9.927,8.60075,11.497,8.620999999999999,8.017,7.192,11.04,9.832,7.55,7.057333333333333,5.226,6.4863333333333335,9.537999999999998,8.368,7.648,7.577,9.877,6.260333333333333,8.63425,8.428666666666667,7.392,CONTROL
6.68,4.442,7.966,5.168,9.301,8.0265,9.2905,8.872,6.51,9.132,10.318,7.445333333333333,11.67,8.159,12.545,8.8255,8.373,12.88325,7.424,8.621,8.898,8.1495,7.0685,8.907,6.4085,10.447,8.956,7.589,9.37,7.591,7.4155,7.514666666666667,6.148,8.20875,7.989,9.787,6.52475,5.318,6.28,8.465,11.973,8.857,9.457,8.4475,10.914,5.686,6.812,7.467,9.54,8.264,8.871,9.871,8.17,8.7005,5.955500000000001,9.1325,11.13,6.7010000000000005,12.842,9.0746,6.231,6.503333333333334,7.05,3.4732,7.774,9.3035,8.162,12.078,7.127,5.71,5.8405000000000005,8.706,9.8,7.993499999999999,6.2835,6.672999999999999,8.821000000000002,6.58,9.717,9.867,9.00475,11.257,9.033,7.824,6.96,11.39,9.332,7.061,7.220666666666666,4.94325,6.7556666666666665,9.229,8.319,7.988,7.5395,9.925,6.5715,8.315000000000001,7.742999999999999,7.38,CONTROL
6.834,4.412,7.7925,5.412,9.565,7.920999999999999,9.565,9.461,6.57,9.042,10.755,7.843166666666666,11.651,8.597,13.086,9.6385,8.364,13.229,7.372,9.154,9.471,7.9615,7.442500000000001,9.09,6.139,10.3695,9.58,7.253,9.316,7.306,7.100999999999999,7.868333333333333,6.484500000000001,8.8895,8.098666666666666,10.383,6.32375,5.715999999999999,5.669,9.716,12.423,8.679,9.508,9.28025,11.178,5.357,7.776,7.93,9.661,8.831,9.433,9.989,8.279,8.9535,6.18775,8.9125,10.901,7.144,13.2005,9.086,6.389,6.797999999999999,6.688,3.2482,7.894,10.045,8.192,12.041,6.3445,6.095,5.8075,9.239,9.865,8.3805,6.174,7.189,9.1645,7.0565,9.603,10.24,9.411,11.693,9.185,7.871499999999999,6.886,11.399,9.802,7.393,6.913333333333334,4.953,6.844,9.643,8.787,7.179,8.0135,10.051,6.547166666666667,8.57275,8.163333333333332,7.562666666666666,CONTROL
