Gene,log2FC,p_value,FDR
ENSG00000146242,0.9424957236164166,0.029598364743798518,0.48882457721850875
ENSG00000078124,0.5927898765183528,0.028254826656556778,0.48882457721850875
ENSG00000118482,0.6995509029681735,0.02673927574602843,0.48882457721850875
ENSG00000143429,0.977790375951511,0.025939356405945736,0.48882457721850875
ENSG00000137474,0.5770707619645821,0.03839276641149336,0.48882457721850875
ENSG00000074201,0.582628290349076,0.050714600176301305,0.48882457721850875
ENSG00000178301,0.6248487362744428,0.05051017648820245,0.48882457721850875
ENSG00000225880,1.0142200299019555,0.017118831783971295,0.48882457721850875
ENSG00000169410,0.5105748930391325,0.028799891197244357,0.48882457721850875
ENSG00000173548,0.45691571044708823,0.027005079739569525,0.48882457721850875
ENSG00000241860,0.7500522775788436,0.009679532814330096,0.48882457721850875
ENSG00000140367,0.8444758181373135,0.035022957263308556,0.48882457721850875
ENSG00000225630,-1.4452027855649163,0.04152908067390157,0.48882457721850875
ENSG00000229376,0.678141815725161,0.036522589685096626,0.48882457721850875
ENSG00000235373,0.7465394860401426,0.04489027354343235,0.48882457721850875
ENSG00000232295,0.9782768092861356,0.00868350514643764,0.48882457721850875
ENSG00000119900,0.9921656568267352,0.0172058373955415,0.48882457721850875
ENSG00000065615,0.6623822823688297,0.010790920169836075,0.48882457721850875
ENSG00000260787,1.254350599238629,0.006859763745119749,0.48882457721850875
ENSG00000269951,1.6069447254688143,0.0027386580314055268,0.48882457721850875
ENSG00000173517,0.6727768476458813,0.041190470803073684,0.48882457721850875
ENSG00000168754,0.6825553647311335,0.04018062312669232,0.48882457721850875
ENSG00000254837,1.09458912359765,0.021202492801172583,0.48882457721850875
ENSG00000269667,0.9844486507454213,0.006560966152524636,0.48882457721850875
ENSG00000211626,-0.36928035724587943,0.04626268092010145,0.48882457721850875
ENSG00000223060,0.753366399566189,0.005768114420230198,0.48882457721850875
ENSG00000131848,0.5908424085357957,0.008977571218063262,0.48882457721850875
ENSG00000048649,0.6632207934924601,0.03662725512006999,0.48882457721850875
ENSG00000188886,-0.9979348604935252,0.011618682989057341,0.48882457721850875
ENSG00000166439,0.8162394505620689,0.02230702622044411,0.48882457721850875
ENSG00000241170,0.669280445795664,0.017309763827167274,0.48882457721850875
ENSG00000260152,0.6431896925598676,0.04818105845142736,0.48882457721850875
ENSG00000259703,0.9500910485078817,0.045470487657440044,0.48882457721850875
ENSG00000137831,0.7365923033264634,0.025305842029282755,0.48882457721850875
ENSG00000101346,0.512693171899012,0.019021091161677186,0.48882457721850875
ENSG00000135317,0.8102677109776701,0.03205143371030711,0.48882457721850875
ENSG00000188994,1.0497803474872942,0.04476233094777783,0.48882457721850875
ENSG00000218313,0.6620582937589289,0.05026433556021997,0.48882457721850875
ENSG00000146278,0.6240954005311181,0.010989565093966588,0.48882457721850875
ENSG00000137270,0.8717315311011418,0.00872016540340005,0.48882457721850875
ENSG00000012660,0.7850148366051712,0.02519799834570487,0.48882457721850875
ENSG00000001084,0.7760195429838594,0.01582121981220231,0.48882457721850875
ENSG00000101367,0.4420186637678949,0.030662209832655298,0.48882457721850875
ENSG00000260536,0.5307733631038233,0.03898499710153094,0.48882457721850875
ENSG00000112208,0.7572909352511603,0.05119241435785177,0.48882457721850875
ENSG00000101421,0.3166300998433851,0.044790225249864986,0.48882457721850875
ENSG00000125977,0.46646337330601284,0.045483673056012607,0.48882457721850875
ENSG00000112773,0.641269804029224,0.03616634135138447,0.48882457721850875
ENSG00000135334,0.46409301649323886,0.02710157956331024,0.48882457721850875
ENSG00000242276,0.7832286409948495,0.019987777682248076,0.48882457721850875
ENSG00000078369,0.3659589423236227,0.034517927089638786,0.48882457721850875
ENSG00000187730,-0.7907671261120757,0.04870060314344907,0.48882457721850875
ENSG00000271806,1.0100544103347224,0.04052495126235004,0.48882457721850875
ENSG00000136381,0.8259820241384261,0.024788123321891575,0.48882457721850875
ENSG00000041357,0.7744120975836442,0.027561842255370908,0.48882457721850875
ENSG00000172469,1.0342953800684755,0.05139090106353382,0.48882457721850875
ENSG00000186231,1.0362923864497833,0.040820125871252215,0.48882457721850875
ENSG00000146085,0.6620444907242984,0.025251686775702373,0.48882457721850875
ENSG00000166411,0.7480402715692271,0.012624495369518979,0.48882457721850875
ENSG00000159322,0.5556453952833422,0.025914607286292926,0.48882457721850875
ENSG00000067141,0.5955095930361862,0.03371885172127068,0.48882457721850875
ENSG00000243151,-0.2857142857142857,0.04009291264774767,0.48882457721850875
ENSG00000215014,0.8791667050475285,0.04509829076653723,0.48882457721850875
ENSG00000189339,0.49079700276035965,0.045802236015659054,0.48882457721850875
ENSG00000137807,0.8875817065371154,0.00010153867441830606,0.48882457721850875
ENSG00000259215,0.4831543154847757,0.05131078730206341,0.48882457721850875
ENSG00000033800,0.456935170907661,0.019581037968271535,0.48882457721850875
ENSG00000129007,0.6270043725034071,0.009662664813711707,0.48882457721850875
ENSG00000169018,0.7483321651432249,0.041924828971124026,0.48882457721850875
ENSG00000140350,0.49558651057735403,0.0016577095260274972,0.48882457721850875
ENSG00000139197,0.5051083737757356,0.03369155326639174,0.48882457721850875
ENSG00000198646,0.6863491176800629,0.03531448082767277,0.48882457721850875
ENSG00000180383,0.5141604167868593,0.045351032163017106,0.48882457721850875
ENSG00000112234,0.5985439562335646,0.04184244264667938,0.48882457721850875
ENSG00000111850,1.0660505032556422,0.026643150357122263,0.48882457721850875
ENSG00000226524,1.2496389169261133,0.0049077144614219845,0.48882457721850875
ENSG00000112118,0.46095800598159187,0.04026239051047213,0.48882457721850875
ENSG00000112144,0.8461275944585234,0.024109555789173055,0.48882457721850875
ENSG00000112146,0.4482275740352861,0.01836792668539795,0.48882457721850875
ENSG00000164414,0.9518855941497906,0.023952086185141958,0.48882457721850875
ENSG00000169032,0.7052131954076,0.008381390568378302,0.48882457721850875
ENSG00000174446,0.4771108187508881,0.03707291017854406,0.48882457721850875
ENSG00000174442,1.106098486335827,0.003977463081895334,0.48882457721850875
ENSG00000137834,1.0897570027735912,0.008213746535756954,0.48882457721850875
ENSG00000271857,0.7418690649789834,0.02019181817386286,0.48882457721850875
ENSG00000112782,0.8132541533724713,0.007313091698468674,0.48882457721850875
ENSG00000180113,1.1245177236825863,0.03728729561030069,0.48882457721850875
ENSG00000132424,0.9626958502972762,0.02813508621997573,0.48882457721850875
ENSG00000123552,0.8965174195957397,0.05020902057106288,0.48882457721850875
ENSG00000112237,0.9601390317062286,0.04671625163100645,0.48882457721850875
ENSG00000198087,0.8853679679854158,0.0505328653726746,0.48882457721850875
ENSG00000146281,1.1627414442769464,0.02186418854460315,0.48882457721850875
ENSG00000111886,1.5062074886578467,0.012480883525934263,0.48882457721850875
ENSG00000198833,0.783079367251295,0.028850464351114144,0.48882457721850875
ENSG00000025039,0.7355809764315469,0.00551798888937377,0.48882457721850875
ENSG00000135299,0.6619637816201882,0.02563092721797261,0.48882457721850875
ENSG00000177575,0.6882801253014001,0.029520796473017395,0.48882457721850875
ENSG00000125966,0.5400822204516249,0.03292472682206335,0.48882457721850875
ENSG00000096401,0.6302528255560382,0.02735363888903218,0.48882457721850875
ENSG00000085377,0.41472801583402763,0.03973470017673165,0.48882457721850875
ENSG00000231628,1.195277686445684,0.004866352004496939,0.48882457721850875
ENSG00000057657,0.6614691926024872,0.027887811830858707,0.48882457721850875
ENSG00000130347,0.6319867760058386,0.010550869199880998,0.48882457721850875
ENSG00000124813,0.7741772490688712,0.03246843607300535,0.48882457721850875
ENSG00000103591,0.4348488858961801,0.03788195710730206,0.48882457721850875
ENSG00000130764,0.45982286053620136,0.032071981111596946,0.48882457721850875
ENSG00000160307,-1.1984882009479394,0.04269466259962581,0.48882457721850875
ENSG00000116198,0.4531670576322062,0.04946923391520503,0.48882457721850875
ENSG00000132423,0.5917614037627779,0.036675839795781796,0.48882457721850875
ENSG00000115760,0.6231902026745892,0.05069019575587512,0.48882457721850875
ENSG00000261366,1.087003651924753,0.04981253944706376,0.48882457721850875
ENSG00000075131,1.036803880692394,0.016108513975399592,0.48882457721850875
ENSG00000164494,0.6122274360892366,0.04601251904075825,0.48882457721850875
ENSG00000025796,0.6799273274884037,0.024414256069360343,0.48882457721850875
ENSG00000081087,0.9490053499231843,0.02411908764420475,0.48882457721850875
ENSG00000103769,0.4619834752744527,0.014548798190446218,0.48882457721850875
ENSG00000185787,0.5376440315237137,0.020061871002612995,0.48882457721850875
ENSG00000058335,1.6027349939813444,0.014312891223988834,0.48882457721850875
ENSG00000169330,1.3159940284127476,0.0024929587471485613,0.48882457721850875
ENSG00000166855,0.6736458547124835,0.016171499785128173,0.48882457721850875
ENSG00000138615,0.7513768975123929,0.028802295382006567,0.48882457721850875
ENSG00000074603,0.7451816741775961,0.021849246522521234,0.48882457721850875
ENSG00000149531,0.9483083066188023,0.006766149558940235,0.48882457721850875
ENSG00000112335,0.379539187621619,0.032157167571719714,0.48882457721850875
ENSG00000228834,0.798876452035593,0.04987765736375879,0.48882457721850875
ENSG00000135535,0.8043020493343196,0.04179658147503372,0.48882457721850875
ENSG00000024048,0.5580633408374691,0.02190625453559173,0.48882457721850875
ENSG00000112624,0.6390303201631475,0.03595548238020962,0.48882457721850875
ENSG00000165494,0.8607770225471914,0.023658211803264172,0.48882457721850875
ENSG00000230772,0.49147872041838425,0.043123732177397844,0.48882457721850875
ENSG00000170191,0.6868866854593998,0.034639025090309306,0.48882457721850875
ENSG00000131051,0.7351528239212204,0.03425452768180245,0.48882457721850875
ENSG00000025293,0.6015499858826363,0.02215534124500058,0.48882457721850875
ENSG00000199676,-0.2857142857142857,0.04009291264774767,0.48882457721850875
ENSG00000260032,0.7877662159850232,0.037548488648950135,0.48882457721850875
ENSG00000124496,0.5109850424086595,0.04807702119374536,0.48882457721850875
ENSG00000118689,0.6521683064247004,0.01615427557568485,0.48882457721850875
ENSG00000203801,0.7505614892154813,0.049241582874993056,0.48882457721850875
ENSG00000116273,0.5991665165511151,0.020075472019887953,0.48882457721850875
ENSG00000268275,0.8073519186055012,0.0037594545366836417,0.48882457721850875
ENSG00000231102,0.9703862411410138,0.013494417588812892,0.48882457721850875
ENSG00000112367,0.3852284009956364,0.038863367966979555,0.48882457721850875
ENSG00000101474,0.4237328215127061,0.04598198869833704,0.48882457721850875
ENSG00000001167,0.6463941581921278,0.042395399414453555,0.48882457721850875
ENSG00000049249,1.099927864537591,0.009181378827307612,0.48882457721850875
ENSG00000116285,1.1794117263785244,0.0036561074622051878,0.48882457721850875
ENSG00000272403,1.028025808404026,0.03074181410111716,0.48882457721850875
ENSG00000125812,0.6227384981911879,0.04715256217385632,0.48882457721850875
ENSG00000155130,0.7872473094993229,0.005765344412124644,0.48882457721850875
ENSG00000225402,1.1412783054179743,0.04972298356140344,0.48882457721850875
ENSG00000172530,0.40266449509113933,0.04154724033907958,0.48882457721850875
ENSG00000237803,0.614850018181345,0.0497334055504638,0.48882457721850875
ENSG00000175538,0.6281621849738155,0.01184178416343651,0.48882457721850875
ENSG00000110237,1.2196990740878766,0.009977386817598043,0.48882457721850875
ENSG00000054965,0.5490144845258431,0.025930455299274246,0.48882457721850875
ENSG00000267192,0.5141604167868593,0.021338493008680685,0.48882457721850875
ENSG00000137513,0.6542649513233476,0.0354076174154859,0.48882457721850875
ENSG00000137509,0.47829537814804013,0.007409085727929543,0.48882457721850875
ENSG00000254441,0.989921280131068,0.0016869990483692943,0.48882457721850875
ENSG00000165490,0.9282811453190876,0.007134036185761027,0.48882457721850875
ENSG00000180953,0.648653801295362,0.01722436512702704,0.48882457721850875
ENSG00000259642,1.0515695828538272,0.003156673927956398,0.48882457721850875
ENSG00000140379,1.123042320972683,0.0063763702125312965,0.48882457721850875
ENSG00000086666,0.7090597904756084,0.021984750163569086,0.48882457721850875
ENSG00000103888,0.8284821708388552,0.019343813837643668,0.48882457721850875
ENSG00000153975,0.777952389486738,0.043633637475464365,0.48882457721850875
ENSG00000047932,0.938075662857405,0.039285289888033634,0.48882457721850875
ENSG00000218809,1.2350225352377997,0.015261481995533533,0.48882457721850875
ENSG00000155111,0.5954261437472113,0.04773417301016711,0.48882457721850875
ENSG00000213149,0.9742632946240413,0.01284708015078588,0.48882457721850875
ENSG00000123505,0.6931759744245234,0.019377619525050165,0.48882457721850875
ENSG00000180304,0.3625023747701004,0.03557486082509518,0.48882457721850875
ENSG00000241839,0.32003044100150113,0.03687944694617426,0.48882457721850875
ENSG00000166839,0.8108345570538198,0.007487654323885636,0.48882457721850875
ENSG00000090487,0.3464342674367522,0.013200903549064972,0.48882457721850875
