Model,AUC,Accuracy
SVM,0.7285250706584319,0.6484018264840182
Random Forest,0.7228933319376111,0.6484018264840182
Logistic Regression,0.7151470742175232,0.6484018264840182
Gradient Boosting,0.7136606301685334,0.6529680365296804
