baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,Ensembl_ID,Gene_Symbol,Gene_Name
915.494277103021,-1.537092028400562,0.2844939647281104,-5.402898546088855,6.557255145323956e-08,0.0003576982681774,Downregulated,ENSG00000180176,TH,tyrosine hydroxylase
37.18201353337763,-2.2190894159063705,0.4446188614453628,-4.990992529405019,6.006982123781909e-07,0.0016384043742615,Downregulated,ENSG00000171873,ADRA1D,adrenoceptor alpha 1D
76.46676915516322,-1.5194574514508714,0.322142479869244,-4.716724885422163,2.3967142590767323e-06,0.0043580254277545,Downregulated,ENSG00000101188,NTSR1,neurotensin receptor 1
23.10150562889525,-2.025720172806817,0.4341876323620763,-4.665540936268621,3.078062062416192e-06,0.0047973795858515,Downregulated,ENSG00000175920,DOK7,docking protein 7
23.18306171164772,2.708609033866185,0.5833460954143245,4.643228188477685,3.4300715530000496e-06,0.0048696473882966,Upregulated,ENSG00000127530,OR7C1,olfactory receptor family 7 subfamily C member 1
714.4268529052999,4.993977051979543,1.083456289428816,4.609301824822396,4.040234386397789e-06,0.0051857596653646,Upregulated,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase
220.207954497754,-1.060258698129368,0.2403454078965829,-4.411395696753155,1.0270642679098126e-05,0.0093351204060708,Downregulated,ENSG00000124302,CHST8,carbohydrate sulfotransferase 8
4166.242823017522,-1.147984488287494,0.2620533907125728,-4.380727473763672,1.1828373639717252e-05,0.0095590782525418,Downregulated,ENSG00000258947,TUBB3,tubulin beta 3 class III
1232.3189274749934,-1.675725651010909,0.3853765479773777,-4.348281336282242,1.37208524744299e-05,0.0096475900154756,Downregulated,ENSG00000142319,SLC6A3,solute carrier family 6 member 3
270.28267078124026,-1.860687344155316,0.4315698666772314,-4.311439439646774,1.621951995754695e-05,0.0104538562571677,Downregulated,ENSG00000187730,GABRD,gamma-aminobutyric acid type A receptor subunit delta
211.40507161759788,1.145965710535103,0.2741747874457673,4.1796903399142025,2.919063083408646e-05,0.0127010544625412,Upregulated,ENSG00000186439,TRDN,triadin
232.9624435929962,-1.0755777164637732,0.25757035094606,-4.175859964134687,2.9686240952777523e-05,0.0127010544625412,Downregulated,ENSG00000149295,DRD2,dopamine receptor D2
314.25523992185407,-1.3630067500147949,0.3305295097158367,-4.123706688660268,3.728236007929881e-05,0.0144372306161868,Downregulated,ENSG00000132437,DDC,dopa decarboxylase
14.96120228449279,-1.724151707093786,0.4212988014881543,-4.092467628684351,4.2680684172836506e-05,0.0150208472363111,Downregulated,ENSG00000168748,CA7,carbonic anhydrase 7
7536.375783276305,1.0552451007439816,0.2591704227383442,4.07162626658732,4.668604357451691e-05,0.0161696741396183,Upregulated,ENSG00000134294,SLC38A2,solute carrier family 38 member 2
519.0260809800088,1.1617047612089326,0.2984471479529143,3.8924974461213937,9.921754440274792e-05,0.0243250204367186,Upregulated,ENSG00000198944,SOWAHA,sosondowah ankyrin repeat domain family member A
92.1487570473075,-1.1571996101919388,0.297100931504656,-3.894971329545642,9.821034566703404e-05,0.0243250204367186,Downregulated,ENSG00000163064,EN1,engrailed homeobox 1
4191.353711624948,-1.0580869269840427,0.2750143596090013,-3.8473879272644753,0.0001193838589876,0.0268552144650512,Downregulated,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1
55.82286290563263,-1.171908967154638,0.3062909773200378,-3.826129575897144,0.0001301737883362,0.0275766219562901,Downregulated,ENSG00000261340,LINC01616,long independently transcribed non-coding RNA 1616
1035.9619021188505,-1.4996320233001574,0.3931721694180463,-3.814186608171777,0.0001366322000245,0.0278969379683229,Downregulated,ENSG00000165646,SLC18A2,solute carrier family 18 member A2
249.3242166618544,-1.0198321844035994,0.26712647771957,-3.8177877128085433,0.000134653712074,0.0278969379683229,Downregulated,ENSG00000099957,P2RX6,purinergic receptor P2X 6
190.04307614676847,1.7359158239900403,0.4644297958373968,3.737735691268629,0.000185684996408,0.0349279881174406,Upregulated,ENSG00000188269,OR7A5,olfactory receptor family 7 subfamily A member 5
42.08108630643301,-1.8302502298208525,0.4912737723464799,-3.725519929710464,0.0001949130512141,0.0360423964194215,Downregulated,ENSG00000144891,AGTR1,angiotensin II receptor type 1
290.81452293638444,-1.3256067030938978,0.3636412890117291,-3.645369057778092,0.000267008342848,0.0438781217170602,Downregulated,ENSG00000267432,DNAH17-AS1,DNAH17 antisense RNA 1
197.634755530213,-1.2533160227577624,0.3492368273767223,-3.588728119459774,0.000332295157943,0.0489910834210582,Downregulated,ENSG00000145248,SLC10A4,solute carrier family 10 member 4
23.308478078341928,-2.8968375940524456,0.8090048594454581,-3.580741895713849,0.0003426199800192,0.0490129030636217,Downregulated,ENSG00000164283,ESM1,endothelial cell specific molecule 1
