PC1,PC2,Sample,Condition
106.65690452570742,-6.169266515614444,GSM4054763_Counts_SN_C1,Control
-107.01121090583223,-30.39514813887355,GSM4054764_Counts_SN_C2,Control
-44.25400852964201,-19.85796954226322,GSM4054765_Counts_SN_C3,Control
161.04834347222902,1.098205345524761,GSM4054766_Counts_SN_C4,Control
-156.25679584823655,-104.04722062922255,GSM4054767_Counts_SN_C5,Control
99.14208870998281,-18.105238479374176,GSM4054768_Counts_SN_PD1,Parkinson
-189.2092163451445,113.68912966696709,GSM4054769_Counts_SN_PD2,Parkinson
-0.18786378161983144,-8.831690472438579,GSM4054770_Counts_SN_PD3,Parkinson
80.91335616758349,-5.474787545005759,GSM4054771_Counts_SN_PD4,Parkinson
49.15840253497269,78.09398631030045,GSM4054772_Counts_SN_PD5,Parkinson
