Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
ABCB10,460.783,250.952,249.943,412.837,229.981,443.741,179.987,310.774,399.972,464.994
ABCB10P3,0.0,0.0,2.771,3.418,0.0,0.0,0.0,7.935,0.0,0.0
ABCB10P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB11,4.0,5.0,0.0,0.0,5.0,3.467,0.0,0.0,1.486,0.0
ABCB4,58.457,29.181,43.316,27.151,39.298,26.156,14.098,51.432,54.398,42.018
ABCB5,20.756,11.215,11.466,24.627,3.158,25.29,9.684,20.768,16.14,13.077
ABCB6,948.875,512.561,701.043,1148.097,588.964,1038.194,673.135,776.569,916.304,855.096
ABCB7,563.0,335.001,330.0,550.0,263.0,429.0,234.001,469.0,500.0,477.0
ABCB8,1301.248,699.533,960.118,1240.417,803.659,1311.658,505.571,836.578,1127.032,751.968
ABCB9,704.149,452.18,566.215,756.666,505.39,695.146,227.787,426.451,652.408,448.757
ABCC1,241.19,116.842,162.56,195.935,199.459,92.755,137.138,185.97,172.012,150.787
ABCC10,674.225,342.126,498.329,697.476,398.533,822.007,392.924,647.21,620.157,551.14
ABCC11,33.0,23.0,36.006,35.0,22.001,52.011,3.0,33.0,42.0,37.623
ABCC12,8.0,3.0,5.0,4.0,13.0,3.0,0.0,5.0,10.0,1.0
ABCC13,6.019,7.025,5.211,7.939,13.092,10.167,9.108,7.018,12.091,12.069
ABCC2,24.186,16.222,21.03,32.233,11.357,38.154,42.157,42.039,32.0,71.731
ABCC3,117.275,65.677,109.6,260.42,60.671,89.2,97.314,105.009,133.34,187.377
ABCC4,846.02,178.08,333.471,575.446,192.001,482.769,306.0,607.121,472.586,500.706
ABCC5,3169.0,1758.0,2290.0,4377.0,2027.0,3229.001,1766.998,2605.0,3061.999,3920.001
ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,19.77,13.316,12.812,39.632,37.458,41.322,13.823,35.316,53.563,28.121
ABCC6P1,7.517,8.795,16.099,10.715,4.272,18.46,7.293,9.239,15.6,11.687
ABCC6P2,0.0,7.867,0.0,14.327,0.0,8.373,0.0,4.366,0.0,3.272
ABCC8,451.001,265.0,369.999,630.998,534.001,693.001,133.0,218.001,464.001,287.0
ABCC9,812.588,655.062,742.181,940.151,497.251,816.79,416.176,578.713,883.254,857.457
ABCD1,346.999,140.0,186.0,213.001,123.0,145.0,193.0,166.0,170.0,188.0
ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,322.0,197.0,205.0,286.0,226.0,321.0,42.0,159.0,312.0,168.0
ABCD3,1731.239,1296.024,1296.336,1713.006,974.127,1758.663,692.011,1445.953,1877.224,1627.959
ABCD4,1997.86,1134.18,1484.353,2365.462,998.688,1951.605,1176.545,1536.984,2039.59,1771.378
