Model,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std
Logistic Regression,0.49994775339602915,0.027289362042348383,0.5142957063243158,0.025101067213991114
SVM,0.5067920585161965,0.027237347786714765,0.5185848694749666,0.031635169237609624
Random Forest,0.543521421107628,0.03260386936973582,0.5610636041605559,0.029225143386605246
