Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
7SK,0.5849625007211562,2.0462582172237265,0.22239242133644774,3.548868135596613,0.22239242133644774,0.41503749927884376,0.22239242133644774,0.5849625007211562,0.41593890202037587,0.41503749927884376
A1BG,7.548136031916355,6.895048091187946,7.270472878012587,7.596733926051552,6.637247962110278,7.05528243550119,6.7610059635468485,6.78779810710056,7.329186398813202,7.16760881987983
A1BG-AS1,6.71550903985874,6.269482048094773,6.768171088981892,7.029541229379716,5.954196310386875,6.88276530647313,5.733652611384825,6.158639980705705,7.036162620549394,6.539143298174726
A1CF,2.821506141897494,0.0,2.3299846497584205,2.5842409728036966,2.019346088804812,2.0,2.584962500721156,2.5844815222066533,2.3088850574117634,2.9508416375491486
A2M,14.03796539151508,12.77003448625246,13.145409822414468,13.570777049023162,12.63964255761813,13.181910218197599,12.91491259117583,13.4990819930659,13.31315541971424,13.309264168843466
A2M-AS1,6.129283016944966,5.882643049361842,6.022367813028454,6.906890595608519,5.727920454563199,6.087462841250339,5.727920454563199,5.882643049361842,6.321928094887363,6.247927513443585
A2ML1,7.596569951247956,6.920829208563456,7.171236856559455,8.18451338431713,6.807651159373032,8.401805366374504,7.174745958429494,7.322045309097672,7.703813618431497,7.645463898614107
A2ML1-AS1,1.584962500721156,1.584962500721156,1.0,2.321928094887362,1.584962500721156,1.584962500721156,2.0,2.0,1.0,2.0
A2ML1-AS2,1.024319679195413,1.0264459803038009,1.0697021666300675,1.6383055768070924,1.032100843167024,0.0,1.6576400052078242,1.6345932684457567,0.0,1.0440443327060216
A2MP1,3.700439718141092,3.807354922057604,4.459431618637297,5.0,3.169925001442312,4.392317422778761,4.0,4.169925001442312,3.9068905956085187,4.247927513443585
A3GALT2,0.0,0.0,0.0,2.584962500721156,1.584962500721156,1.584962500721156,2.807354922057604,2.584962500721156,1.584962500721156,2.0
A4GALT,7.888737161564569,7.066089190457772,7.339850002884624,8.154813046955361,6.727920454563199,7.118941072723508,8.022367813028454,7.20945336562895,7.330916878114617,7.948367231584678
A4GNT,1.584962500721156,0.0,1.584962500721156,2.321928094887362,1.0,1.0,0.0,1.0,0.0,1.0
AAAS,10.015415052386688,9.575535465191198,10.032045726930809,10.478770630474036,9.57931405170291,10.43567026093655,9.312882955284355,9.958554165375046,10.193525360501216,10.015413658477762
AACS,9.701495342998463,8.726609865135357,9.190928391085906,9.920227786646867,9.20640879824841,9.702318159883683,8.353173296723869,9.458781849711066,9.455508059630535,9.114905748463567
AACSP1,2.321928094887362,0.0,2.584962500721156,2.584962500721156,2.584962500721156,2.584962500721156,1.584962500721156,2.0,2.584962500721156,1.584962500721156
AADACL2-AS1,1.2363395391683736,1.0021624211506208,0.0,1.5997938521222421,0.0,1.0745054363636297,0.0,0.0,1.6447792192629533,0.0
AADACP1,3.321928094887362,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0
AADAT,8.603622636253814,7.728029333099222,8.154833295235765,8.802710219291342,7.6569896741806565,8.714248952650227,6.768104908185208,8.562250057507974,8.813819662571845,8.457742020677173
AAGAB,10.303780748177102,9.328674927327947,9.276124405274238,10.344295907915816,9.509775004326936,9.998591840003721,8.581200581924957,9.799281621521923,9.943979914343739,9.523561956057012
AAK1,11.867440145703737,11.121076937018273,11.225409906249972,12.2464282776146,11.383861403775557,11.946697967581475,10.611534816070609,11.55584251145462,11.761417843470579,11.710539131605003
AAMDC,8.933610994744612,8.57424156142054,8.811236599228733,9.063349237913993,8.22993394348524,9.028544289361195,8.297411546521916,8.527676389157776,8.947899886248265,8.711591266650373
AAMP,11.362492901902115,10.733015321685963,10.828930620776635,11.574119961839765,10.57080633475815,11.353146274009047,10.392319569644783,10.910642730469625,11.192292197934293,10.812176503125436
AANAT,2.807354922057604,1.584962500721156,3.0,3.321928094887362,2.0,2.321928094887362,1.584962500721156,3.321928094887362,1.584962500721156,2.807354922057604
AAR2,9.06860901333082,8.581200581924957,8.555110583193478,9.32382039058095,8.159871336778389,9.144655693898462,8.432053263900176,8.82017257879469,8.997176657656892,8.839203788096944
AARD,6.6029140934961665,5.6144742828377,5.409390936137702,6.506954144457302,5.601518248254824,6.031858315975907,5.328908252602699,5.962248237311996,5.636363606876012,5.805111849423654
AARS1,12.888362741170644,12.204571144249204,12.293759009667864,13.33259591793897,12.323054760341646,13.080178297421318,12.269126679149418,12.824369294315737,12.961811408087163,12.581200581924957
AARS2,9.023014106599508,8.306130061980705,8.420545561582971,9.091482990507476,8.19288949824194,8.903794498298318,8.012009900870915,8.685870085796768,8.888685418191145,8.387392700071617
AARSD1,9.841509311992633,9.304844115510809,9.49048188461209,10.151120581748577,9.270414475312254,9.718113277626113,8.490513974630849,9.34636302903843,9.676561850399057,9.150719594843688
AARSD1P1,4.150478441459456,3.7481391669147666,1.8999489861896717,3.1667154449664223,2.948413957792869,5.0797194360249325,2.8861599133374116,2.940166750482817,2.5028397582559316,3.1804661612238982
AASDH,8.813777985224496,8.118941072723507,8.471679278316014,9.00842862207058,7.839210088061533,8.954196310386875,7.748186139364362,8.622051819456376,8.933690654952233,9.03342300153745
AASDHPPT,10.904634621668151,10.239598529249124,10.187352073200497,11.266200912498961,10.198445041452363,11.197830998012197,9.29920801838728,10.836051144278336,11.018200178813226,10.918863237274595
AASDHPPT-AS1,1.0,1.0,2.321928094887362,2.0,0.0,1.584962500721156,1.584962500721156,1.0,1.584962500721156,2.0
AASS,10.553873082060186,9.665742728252523,10.146028916469998,10.528562528593106,9.379018731594126,10.262955741117786,8.211956413445646,10.13493964349298,10.576502297704018,10.122721891360449
AATBC,3.321928094887362,1.584962500721156,2.807354922057604,3.0,2.321928094887362,3.4594316186372973,2.584962500721156,3.9068905956085187,3.4594316186372973,2.807354922057604
ABAT,12.709176886647398,12.35025302022149,12.461405775871166,13.008577961291188,12.090945699341646,12.999784248831057,11.645910566811745,12.194558347101118,12.895668997715454,12.734111124786814
ABCA1,11.391781142929718,10.038918989292302,10.427312844134963,10.850968150982439,9.584962500721156,11.032045726930809,9.840777923595054,10.99718018675694,11.1357092861044,10.839203788096944
ABCA10,7.389489374955493,6.81842879311042,6.699482227805594,8.07097423073517,6.219284705988248,7.209736028181062,5.912314538238007,6.998263212533092,7.230664159299991,7.521938010495262
ABCA11P,7.493751395360712,6.533734642508011,6.933867661889563,7.439739479240249,6.314297735734292,7.340393137655755,4.678071905112637,6.994568410690828,7.4003756855784975,7.016708019682081
ABCA12,2.0,1.0,1.0,2.584962500721156,1.0,3.584962500721156,0.0,2.584962500721156,3.169925001442312,0.0
ABCA13,3.9812133429709053,4.84478735007906,4.728355919414343,6.406009372488744,4.120766638991461,4.351910961103077,4.191720555264027,4.81567788936053,5.004096841582884,5.543743322761065
ABCA15P,4.729117666766472,3.5719194632455573,3.2619820569843174,3.804053558967353,2.7303138862937764,3.459562766770735,3.2709773789094974,2.4502214958971797,3.226200228698224,4.147306698780294
ABCA17P,6.562288223336674,6.00040570093123,6.305095010666697,7.166384052952733,6.0006986362231265,6.818671644166626,6.684033230958449,6.1292624068685955,6.492237763720539,6.857980995127572
ABCA2,15.129645496837814,15.018634869539612,15.256684777478526,15.540828899172807,14.712312041780274,15.659995864565811,14.386811417895329,15.166208676236947,15.449402165400773,15.016984871246978
ABCA3,11.584955925924087,10.789520603600312,11.071284025846518,11.81806364073845,11.097353356455917,11.69261550169458,10.424133738562789,11.230612527890829,11.397644153153601,10.805743066176511
ABCA4,3.807354922057604,3.807354922057604,2.584962500721156,4.392317422778761,2.321928094887362,3.584962500721156,3.4594316186372973,2.807354922057604,3.584962500721156,3.0
ABCA5,10.696864969568178,10.072777082875156,10.144892725442931,11.021941183872167,9.967282466638741,10.690894573991637,9.03342300153745,10.431549837021436,10.882206659815314,10.966248036573607
ABCA6,8.697700854653645,9.891347791604414,8.780280567592639,9.982828197009693,8.525798750699664,10.382754781772952,8.955911399546288,10.629227281772183,9.961296300411878,9.894638930780463
ABCA7,9.139546236449862,8.3487325796692,8.717679849891402,9.622051819456376,8.422064766172813,9.303778465429978,8.562246240869571,9.14210705730255,8.823367240046235,8.67595703294175
ABCA8,11.797895336973397,11.977179732865418,11.732941150674748,12.284263971404169,11.185017870171617,12.192940648691524,11.084063600221398,13.010433170212403,12.678185711862742,12.688300365410898
ABCA9,9.150234708663007,9.373659085442293,9.094544868981595,10.188890457356566,8.74353852986604,9.589063088663787,8.623651079251207,9.585037639131157,9.458347140573355,10.07346947611775
ABCA9-AS1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0064775640712047,2.0,1.9126498648972035
ABCB1,10.952407831099732,10.511573788020746,10.886217845366499,11.36896909738044,10.229661218784415,10.506648748797478,10.816106063471459,10.71043624368632,10.622601879378376,11.356441515871985
ABCB10,8.851071252737047,7.977005098269847,7.9712158927713785,8.692918828037357,7.851630373307229,8.796821600468407,7.499742264381066,8.28435681109114,8.647357686126925,8.864167569062065
ABCB11,2.321928094887362,2.584962500721156,0.0,0.0,2.584962500721156,2.159306254641169,0.0,0.0,1.3138262963903977,0.0
ABCB4,5.893774766435794,4.915568702976608,5.469755763264683,4.815114266550465,5.332636334095148,4.763199085325962,3.9162855463460553,5.712375672880673,5.7917619873682185,5.426868547190066
ABCB5,4.4433414258032276,3.610581958492532,3.6399267127487973,4.679592695700062,2.0558897581962827,4.716442236843321,3.417379975973023,4.444136956587592,4.099295204337775,3.815268003700869
ABCB6,9.891593862433657,9.004391837634207,9.455415587807234,10.166284871603715,9.204483112713516,10.02124929088843,9.396893719353734,9.602826892723343,9.841256120553078,9.741628774903743
ABCB7,9.139551352398794,8.392321716507611,8.370687406807217,9.105908508571158,8.044394119358454,8.74819284958946,7.876523085679771,8.876516946565,8.968666793195208,8.900866807980748
ABCB8,10.346788506053027,9.45230920305034,9.908569756636417,10.27777209213634,9.652233714323833,10.358275369991242,8.984620678286388,9.710079738409574,10.139592279337164,9.556444743619748
ABCB9,9.461784325085441,8.823940382492053,9.147751874925268,9.565418198676827,8.984105105021118,9.443246098415905,7.837861268253067,8.739615238758825,9.351840308293696,8.813001925474266
ABCC1,7.919995487308005,6.880710010712553,7.353676157751641,7.621575724778276,7.6471633813411675,6.550823727066997,7.109966430952076,7.546662992917989,7.434728295498519,7.245904424278706
ABCC10,9.399224510153239,8.422594638462146,8.963846887632847,9.448066734506334,8.642170859311284,9.684760891165658,8.621773506260059,9.34031746720173,9.278814151447868,9.108890311301701
ABCC11,5.087462841250339,4.584962500721156,5.209687297209208,5.169925001442312,4.523624680564789,5.728219850767494,2.0,5.087462841250339,5.426264754702098,5.27138832331442
ABCC12,3.169925001442312,2.0,2.584962500721156,2.321928094887362,3.807354922057604,2.0,0.0,2.584962500721156,3.4594316186372973,1.0
ABCC13,2.811265503776744,3.004501392234941,2.6348255677846195,3.160113447098241,3.816804474832877,3.4811697546174685,3.337425664282688,3.003242417488684,3.7105034014857896,3.7080768496217194
ABCC2,4.654550108646999,4.106180788291942,4.461397589926158,5.054544628355614,3.627256626927326,5.291087796666259,5.4315226762204825,5.427572652526298,5.044394119358453,6.184498507363673
ABCC3,6.886001350624304,6.0591172894563226,6.789207575347344,8.030225708861598,5.946520334803814,6.4950555283680185,6.619324967123787,6.72804294233849,7.069745123799029,7.557479018783038
ABCC4,9.726252224928613,7.4844604131288195,8.385737318519181,9.171041655967313,7.592464512352554,8.91817451391029,8.262094845370179,9.248214600173482,8.887482622876071,8.970698381451749
ABCC5,11.63026712502677,10.78053976747196,11.161761743304675,12.096056239180946,10.985841937003341,11.65731889623603,10.787900927382545,11.347621368568134,11.580729180591685,11.93700629445713
ABCC6,4.376429311069923,3.839556543754297,3.7878503341912997,5.344544473954711,5.2652118324713735,5.403335901023224,3.88976555650658,5.182533401647216,5.769851064141977,4.863987992672251
ABCC6P1,3.0903453497834605,3.2920454924928624,4.095840049400489,3.550285049088411,2.3983503703459648,4.282439805006387,3.0518940923342903,3.3560029151579345,4.053111336459563,3.6652790610878707
ABCC6P2,0.0,3.1484460755288834,0.0,3.938003436458768,0.0,3.2285108827198274,0.0,2.423847054598434,0.0,2.094911647025467
ABCC8,8.820182154214844,8.055282435501189,8.535271487949684,9.303776182679243,9.063397777912234,9.43879393138806,7.066089190457772,7.774793647234722,8.861090008562037,8.169925001442312
ABCC9,9.668154590125296,9.35768835045022,9.537569808346518,9.878282399948894,8.960728890360569,9.67558661135921,8.704512352241858,9.17919502802686,9.788317029872376,9.745602061404094
ABCD1,8.442939350167368,7.139551352398794,7.546894459887636,7.741473727951007,6.954196310386875,7.189824558880018,7.599912842187128,7.383704292474052,7.417852514885898,7.562242424221073
ABCD2,8.335390354693924,7.6293566200796095,7.6865005271832185,8.164906926675688,7.826548487290915,8.330916878114618,5.426264754702098,7.321928094887363,8.290018846932618,7.400879436282184
ABCD3,10.75842227958069,10.340989459980792,10.34133645951434,10.743156444378016,9.929446316676247,10.781083443762318,9.436734441876753,10.498802345600032,10.875153416033903,10.66973457714365
ABCD4,10.964961714033874,10.148705361489085,10.536590118603595,11.208516040521708,9.965334093575867,10.931184415055602,10.201566478288967,10.586824779352774,10.994770626569197,10.79147060896606
ABCE1,10.964981201393181,9.935685151296239,10.009195987743253,10.930917663172881,9.744711085496636,10.686964426118317,8.800890195660935,10.44299531586062,10.780502858940247,10.4249073958854
ABCF1,8.806588286661569,8.2075903067558,8.656803811458598,9.24213801368222,5.613207481585025,9.289075947386797,6.033577174448758,8.871618825797084,8.819537267286073,8.283162454237003
ABCF2,10.564157113189056,9.920273944240332,9.991968190517989,10.87727799764607,9.829423067303296,10.603461297166902,9.710307085284608,10.293821072090916,10.447413892046738,10.231899160065542
ABCF2P1,1.588324867911916,0.0,1.5888045670155504,2.00539998774259,0.0,1.5945485495503542,0.0,0.0,2.3325647309960993,1.5940707568515382
ABCF3,10.817781523219585,10.219168520462162,10.364134655008051,11.146568039351125,10.298063713624074,10.912889336229961,9.761551232444479,10.502831804066744,10.760721610513704,10.277286237603667
ABCG1,10.269118495280756,9.343638777154526,9.532381252595943,9.89753238443576,9.138993607155776,10.14280780706999,9.48241471581024,9.983636371654281,10.107465569201132,9.86495836801572
ABCG2,10.499844890746507,10.27728856265611,10.8089633707412,10.689124404913258,9.995767150877802,10.479780264029099,10.433585441150495,10.484822894262146,10.627532972528735,11.027905996569885
ABCG4,8.247927513443585,7.577428828035749,7.491853096329675,8.80735814235544,8.308339030139408,8.689994478206884,5.882643049361842,7.851749041416057,8.154818109052105,7.294620748891627
ABCG5,2.321928094887362,2.590721770009841,1.584962500721156,3.169925001442312,2.584962500721156,2.01827808502435,0.0,2.807354922057604,3.1771205028465164,3.0
ABCG8,3.700439718141092,2.321928094887362,1.584962500721156,3.9068905956085187,3.321928094887362,3.169925001442312,0.0,2.321928094887362,3.0,3.0
ABHD1,6.682250227824811,6.348374075191163,6.832852048006214,7.405184019884504,6.2906824262036825,7.534450743822765,6.19018024805351,6.727117221497287,7.14463785123843,7.2623109984662175
ABHD10,9.85642552862553,9.400877302116344,9.346513733165635,10.00702586485729,9.08481104469886,9.95419776471582,8.308339030139408,9.698704666770345,9.94690773615276,9.853311115073145
ABHD11,8.537024215863575,7.822226646187866,8.02354922933632,8.51131780343185,7.681435209371185,8.365421341585318,6.925797711893051,7.9439154676436,8.095302070817006,7.546662992917989
ABHD12,11.59898297103609,11.196602126523171,11.198445655365015,11.932584238359349,10.868822554774999,11.652397309658733,10.634811050171718,11.207624468226758,11.47573393753058,11.30035256032822
ABHD12B,7.109485933015614,7.812491807636723,6.435745258296162,6.849261215243027,6.1062854975799805,7.074847915900167,6.152183419055046,6.622740047830395,7.054870178021348,6.998985248258895
ABHD13,8.851749041416058,7.918863237274595,8.076815597050832,8.927777962082342,7.679480099505446,8.57742882803575,7.366322214245816,8.535275376620802,8.668884984266247,8.76487159073609
