,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000134590,3218.8894545060766,-0.495959607750331,0.08889683431721586,-5.579046898122027,2.4184003642968295e-08,0.0002638474797447841
ENSG00000157542,739.1581491190863,-0.9175478164354031,0.1620979822241888,-5.660451807267984,1.5097498325596698e-08,0.0002638474797447841
ENSG00000180176,915.494277103021,-1.537092028400562,0.28449396472811045,-5.402898546088855,6.557255145323956e-08,0.00035769826817742183
ENSG00000103540,4507.297653396105,0.707983872477234,0.13040156720105758,5.429258924362776,5.658853528335257e-08,0.00035769826817742183
ENSG00000277400,205.32890322859012,-0.7725244787209478,0.15176735410293418,-5.090188751640181,3.5770726869942934e-07,0.0014094926691761635
ENSG00000089041,3757.303626603297,0.9138614235880806,0.18007264727048083,5.074959675665796,3.8757818584129156e-07,0.0014094926691761635
ENSG00000121769,1026.2630166920849,-0.6224014928859475,0.12370935790396549,-5.031159351494754,4.87522717312418e-07,0.0015196779559652801
ENSG00000171873,37.18201353337763,-2.2190894159063705,0.4446188614453628,-4.990992529405019,6.006982123781909e-07,0.0016384043742615156
ENSG00000276168,1642.8302021665445,1.089203568602027,0.22968139155069994,4.742236892802853,2.113712508908637e-06,0.004246665212987737
ENSG00000274012,5641.29915086521,1.0095643958567309,0.21300387672409574,4.739652683243983,2.140848640827915e-06,0.004246665212987737
ENSG00000104267,5932.535349969755,0.886935277681869,0.1871154846351036,4.740042115763392,2.136738003937303e-06,0.004246665212987737
ENSG00000101188,76.46676915516322,-1.5194574514508714,0.322142479869244,-4.716724885422163,2.3967142590767323e-06,0.004358025427754525
ENSG00000127483,5039.715343498192,0.4502205451544427,0.09603878058967613,4.687903598838905,2.7601797600638008e-06,0.004632855566507088
ENSG00000175920,23.10150562889525,-2.025720172806817,0.4341876323620763,-4.665540936268621,3.0780620624161914e-06,0.004797379585851521
ENSG00000269549,44.640216690597484,1.3579248302465126,0.29297705224309323,4.634918741416633,3.570777186651974e-06,0.00486964738829663
ENSG00000127530,23.18306171164772,2.7086090338661846,0.5833460954143245,4.643228188477685,3.4300715530000496e-06,0.00486964738829663
ENSG00000159842,714.4268529052999,4.993977051979543,1.083456289428816,4.609301824822396,4.0402343863977894e-06,0.005185759665364692
ENSG00000154864,2236.189140478261,0.5999686230320149,0.13074686848371564,4.588780060202668,4.458438655035728e-06,0.005404618414048866
ENSG00000257093,3676.00380036653,0.5697400591191195,0.1252723084180389,4.548012775639715,5.415484883430815e-06,0.006111698658881114
